project_name,date,edition,score,comment,category,year,month,scoreType
Казахстан Система Главбух,2026-05-19 18:29:27,КЗ Главбух ВИП,10,10,Другое,2026,5,promoter
Система Охрана труда,2025-01-23 10:20:12,Охрана труда Плюс ,10,"Познавательная, основанная на действующем законодательстве,  и обширная информация с примерами.",Другое,2025,1,promoter
А360,2025-01-23 10:25:49,Завуч А360 воспитание,10,все супер,Общее удовлетворение,2025,1,promoter
Система Кадры,2025-01-23 10:26:29,КСС,10,"Всегда помогают в кадровых вопросах, а порой и в сложных, очень приятно работать с Актионом!",Другое,2025,1,promoter
Система Главбух,2025-01-23 10:26:37,БСС ВИП,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-23 10:41:25,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-23 10:52:35,БСС ВИП,10,"много информации , доступно и понятно",Другое,2025,1,promoter
Система Кадры,2025-01-23 10:59:50,КСС ВИП,10,удобно,Платформа/Удобство,2025,1,promoter
Система Госфинансы,2025-01-23 11:01:34,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-23 11:07:28,Завуч Плюс,10,; Очень полезный ресурс для работы!,Другое,2025,1,promoter
Казахстан Система Госзакупки,2026-05-19 15:03:49,КЗ Госзакупки ВИП,10,порекомендую,Другое,2026,5,promoter
Система Методист детского сада,2025-01-23 11:33:42,Методист СуперВИП ,10,Очень хорошая Система. Много актуального и полезного материала.,Контент/Материалы,2025,1,promoter
Система Образование,2025-01-23 11:48:53,Образование ВИП,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-23 11:57:46,БСС ВИП,10,Отлично,Общее удовлетворение,2025,1,promoter
Система Экономика ЛПУ,2025-01-23 12:11:04,ЭЛПУ ВИП,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-23 12:18:41,Госфинансы ,10,10,Другое,2025,1,promoter
А360,2025-01-23 12:40:47,Методист А360 методработа ,10,все отлично,Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-23 12:59:57,БСС ВИП,9,9,Другое,2025,1,promoter
Система Образование,2025-01-23 13:01:11,Образование Плюс,10,Сотрудники проучены и довольны.,Другое,2025,1,promoter
Система Главбух,2025-01-23 13:04:11,БСС ВИП,7,"Очень много рекламы, рассылок и всплывающих окон.",Общее недовольство,2025,1,neutral
Система Завуч,2025-01-23 13:25:07,Завуч СуперВИП,10,"Информация актуальная, с пояснениями,  со ссылками на нормативную базу и готовыми образцами документов.",Контент/Материалы,2025,1,promoter
Система Главбух,2025-01-23 13:37:26,БСС,10,Удобная система,Платформа/Удобство,2025,1,promoter
Система Главбух,2025-01-23 13:40:30,БСС ВИП,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-23 13:43:30,Охрана труда Плюс ,9,Нужная и полезная информации. Постоянно обновляется и учитывает все изменения согласно требований Законов РФ,Другое,2025,1,promoter
Система Образование,2025-01-23 14:05:11,Образование ВИП,10,"Отличная система, оказывает огромную помощь в работе образовательной организации и Управлению образования. Спасибо команде!",Поддержка/Эксперты,2025,1,promoter
Система Завуч,2025-01-23 14:13:06,Завуч Плюс,8,"есть документы , которые у вас не могу найти",Поиск,2025,1,neutral
Система Главбух,2025-01-23 14:15:33,БСС ВИП,0,Очень навязчивый сервис,Звонки/спам,2025,1,detractor
А360,2025-01-23 14:17:26,Экология А360 ,10,С удовольствием пользуюсь Актион,Другое,2025,1,promoter
Система Образование,2025-01-23 14:51:08,Образование Плюс,10,Все отлично,Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-23 15:18:44,БСС ВИП,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-23 15:35:57,Госфинансы Плюс ,10,"Быстро отвечают, полная информация",Другое,2025,1,promoter
Система Методист детского сада,2025-01-23 16:28:05,Методист ВИП ,10,Все четко! Очень грамотно распределен материал по разделам...,Контент/Материалы,2025,1,promoter
Казахстан Система Кадровое дело,2026-05-19 10:49:02,КЗ Кадровое дело ВИП,10,10,Другое,2026,5,promoter
Система Охрана труда,2025-01-23 16:53:00,Охрана труда Плюс ,10,"Здравствуйте, доступно и понятно, рекомендовать буду",Другое,2025,1,promoter
Система Госзаказ,2025-01-23 17:49:49,Госзаказ Плюс ,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-23 18:07:29,Завуч,10,Спасибо большое! Все очень здорово!,Другое,2025,1,promoter
Система Образование,2025-01-23 18:11:16,Образование Плюс,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-23 18:25:07,Госфинансы Плюс ,10,; 10,Другое,2025,1,promoter
Система Завуч,2025-01-23 18:31:36,Завуч СуперВИП,10,Очень много полезной информации!,Другое,2025,1,promoter
Система Методист детского сада,2025-01-23 19:58:33,Методист ВИП ,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-23 20:58:15,БСС ВИП,4,достают звонками представители Глав Бух и Актион,Звонки/спам,2025,1,detractor
Система Главбух,2025-01-23 21:07:53,БСС упр,9,"ИНой раз не все документы бывают, и эксперты находят в другой базе",Контент/Материалы,2025,1,promoter
Система Методист детского сада,2025-01-23 21:47:12,Методист Плюс ,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-23 22:02:42,Охрана труда ,9,"Специалисты дают полные ответы . Они компетентные и профессиональные специалисты в области охраны труда. Я пользуюсь программой ""Система Охрана труда"" не один год и советуют знакомым специалистам по охране труда выбирать данную программу..",Другое,2025,1,promoter
Система Главбух,2025-01-23 23:14:02,БСС,10,; 10,Другое,2025,1,promoter
Система Финансовый директор,2025-01-24 04:03:16,ФСС ВИП,10,10,Другое,2025,1,promoter
Система Образование,2025-01-24 05:46:39,Образование ВИП,10,10,Другое,2025,1,promoter
Узбекистан Система Главбух узб,2026-05-19 09:32:56,УЗ Главбух узб,10,Яхши,Другое,2026,5,promoter
Система Главбух,2025-01-24 06:12:39,БСС ВИП,10,"; Хорошая система, легко искать и все есть.",Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-24 06:20:34,БСС упр,9,невозможно большая цена,Другое,2025,1,promoter
Узбекистан Система Главбух,2026-05-19 09:21:38,УЗ Главбух,8,мне нравится,Положительный отзыв низкая оценка,2026,5,neutral
Система Главбух,2025-01-24 06:50:29,БСС упр,5,111,Общее недовольство,2025,1,detractor
Система Охрана труда,2025-01-24 06:59:44,Охрана труда ВИП ,10,"Очень удобная, профессиональная, своевременная подспорье в работе специалистов по охране труда.",Платформа/Удобство,2025,1,promoter
Система Юрист,2025-01-24 07:20:10,ЮСС Плюс,2,"Хуже правовой системы просто не может быть. ""Обучение"" для людей с высшим юридическим образованием - на уровне ЕГЭ! Даже ниже. Рабочая почта, которая, к сожалению, использовалась для регистрации в системе - забита спамом от СЮ! На оценки и просьбы не присылать спам - нулевая реакция!  Буду благодарен, если опубликуете мой отзыв на сайте ""Системы Юрист"". Спасибо",Звонки/спам,2025,1,detractor
Система Методист детского сада,2025-01-24 07:28:59,Методист СуперВИП ,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-24 07:29:44,Охрана труда БУ ,10,Очень полезная система,Другое,2025,1,promoter
Система Охрана труда,2025-01-24 08:09:24,Охрана труда Плюс ,10,очень нужный продукт .,Другое,2025,1,promoter
Система Главбух,2025-01-24 08:17:22,БСС ВИП,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-24 08:18:05,Завуч СуперВИП,10,10,Другое,2025,1,promoter
Система Консилиум,2025-01-24 08:21:03,Консилиум ВИП,10,Хорошо,Общее удовлетворение,2025,1,promoter
Система Охрана труда,2025-01-24 08:24:18,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Казахстан Система Кадровое дело,2026-05-19 08:24:43,КЗ Кадровое дело Плюс,10,супер очень нравится,Общее удовлетворение,2026,5,promoter
Система Управление МКД,2025-01-24 08:49:57,УМД ВИП,10,Очень АКТУАЛЬНОЕ в сфере ЖКХ  издание !,Актуальность,2025,1,promoter
Система Завуч,2025-01-24 09:02:06,Завуч Плюс,9,очень полезно,Другое,2025,1,promoter
Система Образование,2025-01-24 09:25:04,Образование ВИП,8,иногда не могу находить то что мне необходимо для работы . Порой бывает информация устарелая. иногда не дожидаюсь помощи от онлайн-помощника.,Контент,2025,1,neutral
Система Главбух,2025-01-24 09:49:39,БСС Плюс,8,"Система хорошая, но очень много вопросов на которые нет конкретных примеров и помощники вместо того чтобы написать конкретный ответ кидают ссылки на статьи, которые и так уже сто раз прочитаны. Иногда хочется сэкономить время и просто получить конкретный ответ на конкретный вопрос, а приходиться задавать наводящие вопросы, что бы подтвердить свой вывод из этой статьи.",Положительный отзыв низкая оценка,2025,1,neutral
Система Госфинансы,2025-01-24 10:05:43,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-24 10:11:05,Образование Плюс,10,все достойно!,Другое,2025,1,promoter
Узбекистан Система Главбух,2026-05-19 01:56:41,УЗ Главбух Плюс,10,спасибо,Другое,2026,5,promoter
Система Охрана труда,2025-01-24 10:30:21,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-24 10:37:29,БСС Плюс,10,"Можно найти ответы на интересующие вопросы, компетентные консультации",Другое,2025,1,promoter
Система Главбух,2025-01-24 10:44:59,БСС ВИП,10,10,Другое,2025,1,promoter
Система Образование,2025-01-24 11:09:25,Образование мини,10,"очень нужный сайт, это большая помощница для руководителей и работникам. Спасибо, что создали сайт.",Платформа/Удобство,2025,1,promoter
Система Завуч,2025-01-24 11:11:49,Завуч,10,могу найти любую информацию,Другое,2025,1,promoter
Система Главный врач,2025-01-24 11:18:52,Главврач ВИП ,10,Очень удобная платформа,Платформа/Удобство,2025,1,promoter
Система Госфинансы,2025-01-24 11:42:14,Госфинансы ВИП ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-24 11:46:53,Образование Плюс,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-24 11:55:28,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Система Госзаказ,2025-01-24 12:25:24,Госзаказ Плюс ,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-24 13:13:14,БСС Плюс,10,Все доступно  и понятно,Другое,2025,1,promoter
Система Завуч,2025-01-24 14:01:33,Завуч СуперВИП,10,"Все нравится, удобно, актуально!",Платформа/Удобство,2025,1,promoter
Система Завуч,2025-01-24 14:02:01,Завуч ВИП,10,удобно,Платформа/Удобство,2025,1,promoter
Система Главбух,2025-01-24 14:02:21,БСС ВИП,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-24 14:11:43,Госфинансы Плюс ,10,супер,Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-24 14:43:24,БСС Плюс,3,"До окончания подписки больше месяца, а на открытой странице оповещение Ваш пробный доступ заканчивается через 1 день.",Общее недовольство,2025,1,detractor
Система Главбух,2025-01-24 14:47:39,БСС Плюс,10,рекомендую,Другое,2025,1,promoter
Система Госфинансы,2025-01-24 15:03:05,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Система Методист детского сада,2025-01-24 16:30:14,Методист СуперВИП ,10,"все отлично, спасибо большое!!!",Общее удовлетворение,2025,1,promoter
Казахстан Система Главбух,2026-05-18 13:13:22,КЗ Главбух Плюс,10,Всё нравится,Общее удовлетворение,2026,5,promoter
Система Госфинансы,2025-01-24 17:44:51,Госфинансы ,10,помогает каждый день,Другое,2025,1,promoter
Система Юрист,2025-01-24 18:31:08,ЮСС Плюс,10,оЧЕНЬ НУЖНАЯ И ПОЛЕЗНАЯ ИНФОРМАЦИЯ ДЛЯ ВСЕХ,Другое,2025,1,promoter
Система Образование,2025-01-25 10:41:50,Образование Плюс,2,"Закончила обучение по программе ""Эффективный менеджмент дошкольной образовательной организации"" 31.10.2024г., прошло 3 месяца - ДИПЛОМ НЕ ПРИСЛАЛИ. Закончила обучение по программе ""Обучение учеников начальной школы правилам дорожного движения: теория и практика для педагога"" 14.12.2024г., прошло 1.5 месяца - УДОСТОВЕРЕНИЕ НЕ ПРИСЛАЛИ.",Обучение,2025,1,detractor
Система Главбух,2025-01-25 10:57:42,БСС упр,10,"Добрый день! Система Главбух отлично помогает в работе. Он лайн помощник всегда на связи, вопросы снимают быстро. Коллектив очень внимательный и грамотный.",Ценность/ROI,2025,1,promoter
Система Главбух,2025-01-25 12:50:32,БСС упр,10,10,Другое,2025,1,promoter
Система Образование,2025-01-25 12:56:56,Образование ВИП,10,!,Другое,2025,1,promoter
Система Методист детского сада,2025-01-25 13:05:21,Методист СуперВИП ,10,все хорошо,Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-25 13:22:04,БСС Плюс,10,ОК,Другое,2025,1,promoter
Система Охрана труда,2025-01-25 15:02:04,Охрана труда ВИП ,10,актуальность. профессионализм.,Актуальность,2025,1,promoter
Система Образование,2025-01-25 15:16:22,Образование мини,10,Все актуально,Актуальность,2025,1,promoter
Система Госфинансы,2025-01-25 16:02:28,Госфинансы ,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-25 16:43:38,БСС ВИП,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-26 09:00:19,БСС Плюс,10,отличная информация,Общее удовлетворение,2025,1,promoter
Система Главбух,2025-01-26 10:41:05,БСС ВИП,0,"Ужасная поддержка экспертов, не могут ответит ни на один вопрос. В ответ присылают только ссылки на закон, который я и так читала. Толку нет никакого. Переход на Консультант уже оплатила из-за таких бездарных специалистов",Поддержка,2025,1,detractor
Система Госфинансы,2025-01-26 13:19:03,Госфинансы ВИП ,10,"Рекомендую всегда при любой возможности. Спасибо разработчикам и сотрудникам, а также экспертам и помощникам, отвечающим на онлайн запросы. Быстро, корректно, грамотно. Система Госфинансы - это дополнительный мозг бухгалтера!",Поддержка/Эксперты,2025,1,promoter
Система Госфинансы,2025-01-26 14:35:14,Госфинансы Плюс ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-26 16:25:20,Образование ВИП,10,"Мне очень нравится ""Система Образование"". Я постоянно рекомендую её своим коллегам.",Общее удовлетворение,2025,1,promoter
Система Образование,2025-01-26 17:14:42,Образование ВИП,10,"Очень актуально всегда, своевременно, что очень важно, Материалы полезны и руководителям, и педагогическим работникам, и родителям. Благодарим коллег за помощь  и информационно-методическую поддержку.",Контент/Материалы,2025,1,promoter
Система Методист детского сада,2025-01-26 17:43:16,Методист СуперВИП ,10,Все доступно много полезного материала .,Контент/Материалы,2025,1,promoter
Система Образование,2025-01-26 20:29:32,Образование ВИП,10,"отличный материал, все нужное для организации работы",Контент/Материалы,2025,1,promoter
Казахстан Система Главбух,2026-05-18 10:37:32,КЗ Главбух ВИП,10,Очень доступная информация. быстро и понятно,Другое,2026,5,promoter
Казахстан Система Медицина,2026-05-18 10:33:14,КЗ Медицина ВИП,10,"Очень грамотная система, отличные эксперты",Поддержка/Эксперты,2026,5,promoter
Система Образование,2025-01-26 22:08:26,Образование ВИП,10,Все отлично,Общее удовлетворение,2025,1,promoter
Система Консилиум,2025-01-27 00:41:15,Консилиум ВИП,10,Очень много даёт мне информацию.Всех Вам благ.,Другое,2025,1,promoter
Система Главная медсестра,2025-01-27 01:20:11,Главмедсестра ВИП ,9,спасибо,Другое,2025,1,promoter
Система Культура,2025-01-27 03:20:21,Культура ВИП,10,отличный журнал!!!,Общее удовлетворение,2025,1,promoter
Казахстан Система Главбух,2026-05-18 10:18:25,КЗ Главбух Плюс,10,10,Другое,2026,5,promoter
Система Главная медсестра,2025-01-27 04:34:20,Главмедсестра ВИП ,10,всегда актуальные данные,Актуальность,2025,1,promoter
Система Завуч,2025-01-27 05:38:30,Завуч,10,отличная помощь в работе,Поддержка/Эксперты,2025,1,promoter
Система Образование,2025-01-27 05:56:31,Образование ВИП,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 06:04:28,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Казахстан Система Главбух,2026-05-18 10:00:19,КЗ Главбух Плюс,10,все очень полезно и нужно,Другое,2026,5,promoter
Система Образование,2025-01-27 06:58:09,Образование ВИП,8,"Прдедставленные в системе матиериалы актуальны и востребованы. Система сразу не выдает региональные нормативные документы по итогам поиска, приходится обращаться  к онлайн-помощнику. Ответы экспертов на направляемые запросы не всегда удовлетворяют заказчика качеством предоставляемого ответа",Поиск,2025,1,neutral
Система Главная медсестра,2025-01-27 07:09:21,Главмедсестра ВИП ,10,класс!,Другое,2025,1,promoter
Система Завуч,2025-01-27 07:15:11,Завуч,9,"Своевременный материал, много методических рекомендаций. Очень помогает в работе",Контент/Материалы,2025,1,promoter
Система Главбух,2025-01-27 07:40:16,БСС ВИП,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 07:44:15,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 07:45:16,Охрана труда Плюс ,10,"Все доступно,  ясно и своевременно, главное впереди  "" планеты всей"". Спасибо вам  за ваш  труд. Люблю Вашу Систему!!!",Другое,2025,1,promoter
А360,2025-01-27 07:48:55,Завуч А360 педработа,10,"Здравствуйте, материалы ваши очень нужные, познавательные и актуальные. На все вопросы можно найти ответ. Спасибо вам огромное!!!",Контент/Материалы,2025,1,promoter
Система Госфинансы,2025-01-27 07:56:05,Госфинансы Плюс ,8,Не всегда можно быстро найти ответ,Общее недовольство,2025,1,neutral
Система Госзаказ,2025-01-27 07:58:35,Госзаказ ВИП ,10,"Отличная система,понятный функционал,техподдержка очень быстро решает проблемы.В общем необходимая и полезная система для гос.закупщиков.Спасибо, Вам ребята!",Поддержка/Эксперты,2025,1,promoter
Система Главбух,2025-01-27 08:02:25,БСС,10,Замечательная программа! Хорошо что она есть у нас!!!,Общее удовлетворение,2025,1,promoter
Система Культура,2025-01-27 08:07:15,Культура Плюс,10,"Актуально, своевременно",Актуальность,2025,1,promoter
Система Кадры,2025-01-27 08:26:08,КСС Плюс,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-27 08:28:32,Завуч СуперВИП,10,"Предлагаемые материалы практико ориентированные, понятные, актуальные.",Контент/Материалы,2025,1,promoter
Система Главбух,2025-01-27 08:40:49,БСС ВИП,10,Полезный и грамотный журнал. Очень помогает в работе.,Ценность/ROI,2025,1,promoter
Система Главбух,2025-01-27 08:49:14,БСС,8,"бывает, что быстрее нахожу ответ на вопрос в интернете",Общее недовольство,2025,1,neutral
Система Главбух,2025-01-27 08:56:18,БСС ВИП,10,Все доступно и понятно.,Другое,2025,1,promoter
Казахстан Система Главбух,2026-05-18 07:48:24,КЗ Главбух ВИП,10,"Программа очень хорошая, много полезное и обучаемое, разные вебинары для обучения.",Обучение/Развитие,2026,5,promoter
Система Образование,2025-01-27 09:15:37,Образование ВИП,10,Спасибо за полезную информацию!,Другое,2025,1,promoter
Узбекистан Система Главбух узб,2026-05-18 07:34:19,УЗ Главбух узб,5,УРТАЧА,Общее недовольство,2026,5,detractor
Система Главбух,2025-01-27 09:21:45,БСС Плюс,10,Буду рекомендовать,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 09:21:47,Охрана труда ,10,10,Другое,2025,1,promoter
Казахстан Система Госзакупки,2026-05-18 07:20:14,КЗ Госзакупки ВИП,10,Отличная система для работы без ошибок.,Общее удовлетворение,2026,5,promoter
Система Главбух,2025-01-27 09:27:41,БСС Плюс,10,5,Другое,2025,1,promoter
Система Завуч,2025-01-27 09:30:52,Завуч СуперВИП,10,"Очень все удобно, грамотно и качсественно!",Платформа/Удобство,2025,1,promoter
Система Образование,2025-01-27 09:38:22,Образование мини,8,8,Общее недовольство,2025,1,neutral
Система Главная медсестра,2025-01-27 09:47:11,Главмедсестра ВИП ,10,всё доходчиво и актуально,Актуальность,2025,1,promoter
Система Главбух,2025-01-27 09:48:38,БСС ВИП,10,я довольна  системой и быстрым ответом онлайн-помощником,Другое,2025,1,promoter
Система Главная медсестра,2025-01-27 09:50:42,Главмедсестра Плюс ,10,"Все доступно и понятно, легко найти нужный ответ, документ, сведения.",Контент/Материалы,2025,1,promoter
Система Охрана труда,2025-01-27 09:52:13,Охрана труда Плюс ,2,Основной массив охраны труда-бух.учет,Общее недовольство,2025,1,detractor
Система Образование,2025-01-27 10:24:49,Образование ВИП,10,10,Другое,2025,1,promoter
Система Образование,2025-01-27 10:25:15,Образование Плюс,9,АКТУАЛЬНАЯ информация,Актуальность,2025,1,promoter
Система Охрана труда,2025-01-27 10:27:01,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Система Образование,2025-01-27 10:39:12,Образование Плюс,10,много нужной полезной информации для работы,Другое,2025,1,promoter
Узбекистан Система Главбух,2026-05-17 07:49:22,УЗ Главбух,10,555,Другое,2026,5,promoter
Система Юрист,2025-01-27 10:47:04,ЮСС ВИП,9,Все нравиться! Спасибо!,Другое,2025,1,promoter
Система Юрист,2025-01-27 10:49:01,ЮСС Плюс,10,"Ответы всегда развернутые, подкрепленные нормами права.",Другое,2025,1,promoter
Система Кадры,2025-01-27 10:53:12,КСС ВИП,10,"очень информативная,  юридически и практически наполненная система.",Другое,2025,1,promoter
Система Образование,2025-01-27 10:54:26,Образование Плюс,10,Очень удобный продукт! Материалы всегда актуальны! Своевременно освещаются все изменения в законодательстве!,Контент/Материалы,2025,1,promoter
Система Образование,2025-01-27 10:57:55,Образование ВИП,8,Не все нормативные акты по ДОНМ присутствуют,Общее недовольство,2025,1,neutral
Система Главбух,2025-01-27 11:00:06,БСС упр,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-27 11:06:07,БСС упр,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 11:09:31,Охрана труда ВИП ,10,нравится подробное разъяснение и ссылки на нормативные документы,Контент/Материалы,2025,1,promoter
Узбекистан Система Главбух,2026-05-16 07:05:24,УЗ Главбух Плюс,6,Поскромнее других аналогичных сайтов,Общее недовольство,2026,5,detractor
Система Госфинансы,2025-01-27 11:15:51,Госфинансы ВИП ,10,Отлично!,Общее удовлетворение,2025,1,promoter
Узбекистан Система Главбух,2026-05-15 21:29:42,УЗ Главбух Плюс,2,нету того чего я ищу,Общее недовольство,2026,5,detractor
Система Кадры,2025-01-27 11:23:56,КСС Плюс,10,"Очень удобно, быстро нахожу интересующую информацию.",Платформа/Удобство,2025,1,promoter
Система Главная медсестра,2025-01-27 11:29:22,Главмедсестра ВИП ,10,"Здравствуйте. Очень полезная программа для тех,кто хочет быть в курсе событий!",Обучение/Развитие,2025,1,promoter
Система Главбух,2025-01-27 11:34:01,БСС Плюс,10,Отличный профессиональный помощник в работе. Очень нравится функционал системы за небольшую стоимость,Общее удовлетворение,2025,1,promoter
Система Госфинансы,2025-01-27 11:39:57,Госфинансы ВИП ,9,"здравствуйте, во время годового отчета, с января до середины февраля, в выходные дни не работаете, так как  по всем вопросам помогаете, привыкла, очень хорошая программа",Общее удовлетворение,2025,1,promoter
Система Госзаказ,2025-01-27 11:40:24,Госзаказ ВИП ,10,"Отличная система, я в восторге!",Общее удовлетворение,2025,1,promoter
Казахстан Система Главбух,2026-05-15 15:23:21,КЗ Главбух Плюс,10,супер продукт,Общее удовлетворение,2026,5,promoter
Система Образование,2025-01-27 11:49:33,Образование Плюс,10,очень выручает в работе по всем направлениям,Ценность/ROI,2025,1,promoter
Система Образование,2025-01-27 11:51:23,Образование мини,10,"Замечательная, информативная и удобная система, очень помогающая в работе.",Платформа/Удобство,2025,1,promoter
Система Главбух,2025-01-27 11:53:51,БСС Плюс,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 11:54:49,Охрана труда ВИП ,10,"Материал подается в доступной форме, понятным языком, с примерами, ссылками на нормативные акты, наглядно, с выводами-обобщениями. Тесты после каждой темы  и промежуточные тесты позволяют лучше запомнить.  Но, требуется редактирование текста, кое-где в слайдах встречала не СФР (соц.фонд России, а ФСС). Где именно, не зафиксировала.",Контент/Материалы,2025,1,promoter
Система Консилиум,2025-01-27 12:00:07,Консилиум Плюс,10,"все четко, ясно,конкретизированно,всегда актуальная информация по волнующим темам",Актуальность,2025,1,promoter
Система Кадры,2025-01-27 12:05:14,КСС ВИП,10,10,Другое,2025,1,promoter
Система Завуч,2025-01-27 12:12:37,Завуч СуперВИП,10,"Очень хорошие материалы, отличная помощь в работе.",Контент/Материалы,2025,1,promoter
Система Экономика ЛПУ,2025-01-27 12:23:22,ЭЛПУ ВИП,8,"советую всем ЛПУ приобрести  систему  ""Экономика ЛПУ""",Общее недовольство,2025,1,neutral
Система Завуч,2025-01-27 12:32:17,Завуч СуперВИП,10,"Очень доверяю экспертам в решении  любого вопроса,спасибо огромное!!!",Поддержка/Эксперты,2025,1,promoter
Система Образование,2025-01-27 12:40:37,Образование Плюс,10,"Очень полезная система! При возникающих вопросах, ответ всегда можно найти! Спасибо!",Другое,2025,1,promoter
Система Образование,2025-01-27 12:45:02,Образование,10,необходимая информация всегда в системе,Другое,2025,1,promoter
Система Образование,2025-01-27 12:47:32,Образование ВИП,10,"10, очень помогает при поисках докуметов и при оформленте различно документации. все доступно.",Контент/Материалы,2025,1,promoter
Система Главбух,2025-01-27 12:48:32,БСС,10,все супер,Общее удовлетворение,2025,1,promoter
Система Охрана труда,2025-01-27 12:52:57,Охрана труда БУ ,10,10,Другое,2025,1,promoter
Система Кадры,2025-01-27 12:53:43,КСС БУ,10,Меня все устраивает во всех разделах и по всем темам. прекрасная программа.Спасибо.,Другое,2025,1,promoter
Система Главбух,2025-01-27 13:00:29,БСС упр,10,10,Другое,2025,1,promoter
Система Главный врач,2025-01-27 13:10:48,Главврач Плюс ,10,10,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 13:19:35,Охрана труда ,10,10,Другое,2025,1,promoter
Система Госзаказ,2025-01-27 13:25:50,Госзаказ Плюс ,10,очень актуальный для госзакупок сайт,Платформа/Удобство,2025,1,promoter
Система Образование,2025-01-27 13:41:40,Образование Плюс,8,не все документы можно найти,Контент,2025,1,neutral
Система Госзаказ,2025-01-27 13:42:44,Госзаказ Плюс ,10,Разъяснения законодательства развернутые,Другое,2025,1,promoter
Система Главная медсестра,2025-01-27 13:43:42,Главмедсестра ВИП ,10,10,Другое,2025,1,promoter
Система Госзаказ,2025-01-27 13:45:08,Госзаказ Плюс ,10,Отличный навигатор в вопросах Госзаказа.,Общее удовлетворение,2025,1,promoter
Система Главный врач,2025-01-27 13:51:26,Главврач Плюс ,9,"Добрый день! Спасибо за систему, есть очень нужные документы, пользуюсь",Контент/Материалы,2025,1,promoter
Система Юрист,2025-01-27 13:52:06,ЮСС ВИП,10,"Нравиться искать литературу в разделе библиотеке, читать журналы по интересной тематике  в них статьи специалистов и экспертов., так же расширять свой кругозор ""домохозяйки"" читая другие рубрики.  Очень интересные разделы проверка договоров о которой рассказали менеджера.Пока не знаю где она мне пригодиться но надеюсь найду применение.Пока узнаю, но мне нравиться. Спасибо",Поддержка/Эксперты,2025,1,promoter
Система Госзаказ,2025-01-27 14:05:25,Госзаказ ВИП ,10,8,Другое,2025,1,promoter
Система Охрана труда,2025-01-27 14:07:22,Охрана труда ВИП ,10,10,Другое,2025,1,promoter
Система Госфинансы,2025-01-27 14:07:45,Госфинансы Плюс ,10,По любому возникшему вопросу можно найти ответ,Другое,2025,1,promoter
Система Методист детского сада,2025-01-27 14:25:31,Методист ВИП ,10,"РАССМАТРИВАЮТСЯ АКТУАЛЬНЫЕ ВОПРОСЫ. МЕТОДИЧЕСКИЕ МАТЕРИАЛЫ СОСТАВЛЕНО ГРАМОТНО, СООТВЕТСТВУЮТ ЗАКОНАМ РФ.",Контент/Материалы,2025,1,promoter
Система Кадры,2025-01-27 14:32:37,КСС,10,10,Другое,2025,1,promoter
Система Главбух,2025-01-27 14:34:40,БСС,10,"Спасибо за вашу работу, очень отличная, полезная программа, незаменимый помощник. Позволяет выявить ошибки и исправить. Программа удобна в использовании для работы. Советую данную программу всем.",Платформа/Удобство,2025,1,promoter
